,ticker,corr w covid change,GICS Sector,GICS Sub-Industry,corr abs
168,EXC,-0.14020311233085042,Utilities,Multi-Utilities,0.14020311233085042
169,EXPD,-0.13722193861924326,Industrials,Air Freight & Logistics,0.13722193861924326
170,EXPE,-0.28709440980866324,Consumer Discretionary,Internet & Direct Marketing Retail,0.28709440980866324
171,EXR,-0.1076335028605778,Real Estate,Specialized REITs,0.1076335028605778
172,F,-0.24105253735370102,Consumer Discretionary,Automobile Manufacturers,0.24105253735370102
173,FANG,-0.3487955378153776,Energy,Oil & Gas Exploration & Production,0.3487955378153776
174,FAST,-0.1295971055139414,Industrials,Building Products,0.1295971055139414
175,FB,-0.2708545118753093,Communication Services,Interactive Media & Services,0.2708545118753093
176,FBHS,-0.2323507778092213,Industrials,Building Products,0.2323507778092213
177,FCX,-0.3387756070924788,Materials,Copper,0.3387756070924788
178,FDX,-0.30454344821952745,Industrials,Air Freight & Logistics,0.30454344821952745
179,FE,-0.07331159362083199,Utilities,Electric Utilities,0.07331159362083199
180,FFIV,-0.12773499447009226,Information Technology,Communications Equipment,0.12773499447009226
181,FIS,-0.15591433767736287,Information Technology,Data Processing & Outsourced Services,0.15591433767736287
182,FISV,-0.17596672284373627,Information Technology,Data Processing & Outsourced Services,0.17596672284373627
183,FITB,-0.26266088371247714,Financials,Regional Banks,0.26266088371247714
184,FLIR,-0.2893305436166716,Information Technology,Electronic Equipment & Instruments,0.2893305436166716
185,FLS,-0.3190143708126729,Industrials,Industrial Machinery,0.3190143708126729
186,FLT,-0.2334805514115969,Information Technology,Data Processing & Outsourced Services,0.2334805514115969
187,FMC,-0.15190759555656574,Materials,Fertilizers & Agricultural Chemicals,0.15190759555656574
188,FOX,-0.35800865709642016,Communication Services,Movies & Entertainment,0.35800865709642016
189,FOXA,-0.3513656401935601,Communication Services,Movies & Entertainment,0.3513656401935601
190,FRC,-0.21272699527445887,Financials,Regional Banks,0.21272699527445887
191,FRT,-0.04975104116015363,Real Estate,Retail REITs,0.04975104116015363
192,FTI,-0.33950301203316885,Energy,Oil & Gas Equipment & Services,0.33950301203316885
193,FTNT,-0.2322993946627468,Information Technology,Systems Software,0.2322993946627468
194,FTV,-0.2572956475231621,Industrials,Industrial Machinery,0.2572956475231621
195,GD,-0.16713011837923458,Industrials,Aerospace & Defense,0.16713011837923458
196,GE,-0.3393795348440648,Industrials,Industrial Conglomerates,0.3393795348440648
197,GILD,0.300217769114133,Health Care,Biotechnology,0.300217769114133
198,GIS,0.19682527115489232,Consumer Staples,Packaged Foods & Meats,0.19682527115489232
199,GL,-0.2800541432176529,Financials,Life & Health Insurance,0.2800541432176529
200,GLW,-0.14072157307426905,Information Technology,Electronic Components,0.14072157307426905
201,GM,-0.2070674551205687,Consumer Discretionary,Automobile Manufacturers,0.2070674551205687
202,GOOG,-0.3117327234078159,Communication Services,Interactive Media & Services,0.3117327234078159
203,GOOGL,-0.3203479986636797,Communication Services,Interactive Media & Services,0.3203479986636797
204,GPC,-0.18619812780312928,Consumer Discretionary,Specialty Stores,0.18619812780312928
205,GPN,-0.14434932297997566,Information Technology,Data Processing & Outsourced Services,0.14434932297997566
206,GPS,-0.23669486979499504,Consumer Discretionary,Apparel Retail,0.23669486979499504
207,GRMN,-0.2639134165063005,Consumer Discretionary,Consumer Electronics,0.2639134165063005
208,GS,-0.2366542462024755,Financials,Investment Banking & Brokerage,0.2366542462024755
209,GWW,-0.15339477280725605,Industrials,Industrial Machinery,0.15339477280725605
210,HAL,-0.454826980634258,Energy,Oil & Gas Equipment & Services,0.454826980634258
211,HAS,-0.3616391392646956,Consumer Discretionary,Leisure Products,0.3616391392646956
212,HBAN,-0.239809174131074,Financials,Regional Banks,0.239809174131074
213,HBI,-0.24446602875491702,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.24446602875491702
214,HCA,-0.2028392280036993,Health Care,Health Care Facilities,0.2028392280036993
215,HD,-0.1052418450647636,Consumer Discretionary,Home Improvement Retail,0.1052418450647636
216,HES,-0.2551632543593345,Energy,Integrated Oil & Gas,0.2551632543593345
217,HFC,-0.3161067408719785,Energy,Oil & Gas Refining & Marketing,0.3161067408719785
218,HIG,-0.15810202624009104,Financials,Property & Casualty Insurance,0.15810202624009104
219,HII,-0.23503108615845497,Industrials,Aerospace & Defense,0.23503108615845497
220,HLT,-0.2731747726385835,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0.2731747726385835
221,HOLX,-0.2327551168158879,Health Care,Health Care Equipment,0.2327551168158879
222,HON,-0.14801086821977158,Industrials,Industrial Conglomerates,0.14801086821977158
223,HPE,-0.2830006967123976,Information Technology,"Technology Hardware, Storage & Peripherals",0.2830006967123976
224,HPQ,-0.13505511312099772,Information Technology,"Technology Hardware, Storage & Peripherals",0.13505511312099772
225,HRL,-0.16493204359117544,Consumer Staples,Packaged Foods & Meats,0.16493204359117544
226,HSIC,-0.26877858423304474,Health Care,Health Care Distributors,0.26877858423304474
227,HST,-0.18338318908177287,Real Estate,Hotel & Resort REITs,0.18338318908177287
228,HSY,-0.022021911535194474,Consumer Staples,Packaged Foods & Meats,0.022021911535194474
229,HUM,-0.029906874306470002,Health Care,Managed Health Care,0.029906874306470002
230,HWM,-0.2349008059749367,Industrials,Aerospace & Defense,0.2349008059749367
231,IBM,-0.2767588904002589,Information Technology,IT Consulting & Other Services,0.2767588904002589
232,ICE,-0.1602330332800545,Financials,Financial Exchanges & Data,0.1602330332800545
233,IDXX,-0.2049176679875056,Health Care,Health Care Equipment,0.2049176679875056
234,IEX,-0.267941868389424,Industrials,Industrial Machinery,0.267941868389424
235,IFF,-0.13605859280591226,Materials,Specialty Chemicals,0.13605859280591226
236,ILMN,-0.15542616271436568,Health Care,Life Sciences Tools & Services,0.15542616271436568
237,INCY,-0.048927025870140584,Health Care,Biotechnology,0.048927025870140584
238,INFO,-0.32109695504948954,Industrials,Research & Consulting Services,0.32109695504948954
239,INTC,-0.16575347860226386,Information Technology,Semiconductors,0.16575347860226386
240,INTU,-0.12450418225665258,Information Technology,Application Software,0.12450418225665258
241,IP,-0.18771113267999004,Materials,Paper Packaging,0.18771113267999004
242,IPG,-0.23351752617791074,Communication Services,Advertising,0.23351752617791074
243,IPGP,-0.2408265431205644,Information Technology,Electronic Manufacturing Services,0.2408265431205644
244,IQV,-0.2406802989994857,Health Care,Life Sciences Tools & Services,0.2406802989994857
245,IR,-0.3646664133621985,Industrials,Industrial Machinery,0.3646664133621985
246,IRM,-0.016065893502469758,Real Estate,Specialized REITs,0.016065893502469758
247,ISRG,-0.13887739381061884,Health Care,Health Care Equipment,0.13887739381061884
248,IT,-0.22439239887119972,Information Technology,IT Consulting & Other Services,0.22439239887119972
249,ITW,-0.17800278865345662,Industrials,Industrial Machinery,0.17800278865345662
250,IVZ,-0.26385679128896034,Financials,Asset Management & Custody Banks,0.26385679128896034
251,J,-0.09862927242990703,Industrials,Construction & Engineering,0.09862927242990703
252,JBHT,-0.2651284926799802,Industrials,Trucking,0.2651284926799802
253,JCI,-0.14246286682484968,Industrials,Building Products,0.14246286682484968
254,JKHY,0.007214244187674693,Information Technology,Data Processing & Outsourced Services,0.007214244187674693
255,JNJ,-0.05188265624408461,Health Care,Pharmaceuticals,0.05188265624408461
256,JNPR,-0.13569869927743655,Information Technology,Communications Equipment,0.13569869927743655
257,JPM,-0.2243415107516144,Financials,Diversified Banks,0.2243415107516144
258,K,-0.03399064963891059,Consumer Staples,Packaged Foods & Meats,0.03399064963891059
259,KEY,-0.2160035223269594,Financials,Regional Banks,0.2160035223269594
260,KEYS,-0.10884341334602396,Information Technology,Electronic Equipment & Instruments,0.10884341334602396
261,KHC,-0.029342091807147606,Consumer Staples,Packaged Foods & Meats,0.029342091807147606
262,KIM,-0.12852216402215955,Real Estate,Retail REITs,0.12852216402215955
263,KLAC,-0.1999447912925346,Information Technology,Semiconductor Equipment,0.1999447912925346
264,KMB,0.02829444209335628,Consumer Staples,Household Products,0.02829444209335628
265,KMI,-0.22625362474611524,Energy,Oil & Gas Storage & Transportation,0.22625362474611524
266,KMX,-0.1775811838460856,Consumer Discretionary,Specialty Stores,0.1775811838460856
267,KO,-0.13322750946175765,Consumer Staples,Soft Drinks,0.13322750946175765
268,KR,0.40908783806242976,Consumer Staples,Food Retail,0.40908783806242976
269,KSU,-0.2461471214301835,Industrials,Railroads,0.2461471214301835
270,L,-0.21598409352986989,Financials,Multi-line Insurance,0.21598409352986989
271,LB,-0.1781808133659659,Consumer Discretionary,Apparel Retail,0.1781808133659659
272,LDOS,-0.08275937021323193,Information Technology,IT Consulting & Other Services,0.08275937021323193
273,LEG,-0.22107343253813747,Consumer Discretionary,Home Furnishings,0.22107343253813747
274,LEN,-0.18878894508145772,Consumer Discretionary,Homebuilding,0.18878894508145772
275,LH,-0.1742769987305203,Health Care,Health Care Services,0.1742769987305203
276,LHX,-0.18811513873294206,Industrials,Aerospace & Defense,0.18811513873294206
277,LIN,-0.20850086526085448,Materials,Industrial Gases,0.20850086526085448
278,LKQ,-0.19588262963157552,Consumer Discretionary,Distributors,0.19588262963157552
279,LLY,0.1224412753763092,Health Care,Pharmaceuticals,0.1224412753763092
280,LMT,-0.19901575955534226,Industrials,Aerospace & Defense,0.19901575955534226
281,LNC,-0.27023985768689474,Financials,Multi-line Insurance,0.27023985768689474
282,LNT,-0.03684148593950474,Utilities,Electric Utilities,0.03684148593950474
283,LOW,-0.1936527174721236,Consumer Discretionary,Home Improvement Retail,0.1936527174721236
284,LRCX,-0.1969988820381008,Information Technology,Semiconductor Equipment,0.1969988820381008
285,LUMN,-0.23481243525992754,Communication Services,Alternative Carriers,0.23481243525992754
286,LUV,-0.16471357172749745,Industrials,Airlines,0.16471357172749745
287,LVS,-0.25048121979683946,Consumer Discretionary,Casinos & Gaming,0.25048121979683946
288,LW,-0.2256007266494534,Consumer Staples,Packaged Foods & Meats,0.2256007266494534
289,LYB,-0.23713340867069355,Materials,Specialty Chemicals,0.23713340867069355
290,LYV,-0.2597750789019198,Communication Services,Movies & Entertainment,0.2597750789019198
291,MA,-0.17232192934877338,Information Technology,Data Processing & Outsourced Services,0.17232192934877338
292,MAA,-0.01261171761587512,Real Estate,Residential REITs,0.01261171761587512
293,MAR,-0.2379565914016211,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0.2379565914016211
294,MAS,-0.12633766814542924,Industrials,Building Products,0.12633766814542924
