,ticker,corr w covid change,GICS Sector,GICS Sub-Industry,corr abs
423,SYK,-0.2122649875341741,Health Care,Health Care Equipment,0.2122649875341741
424,SYY,-0.1966409320850856,Consumer Staples,Food Distributors,0.1966409320850856
425,T,-0.0066176172448706725,Communication Services,Integrated Telecommunication Services,0.0066176172448706725
426,TAP,-0.16117253523044794,Consumer Staples,Brewers,0.16117253523044794
427,TDG,-0.2867563167877557,Industrials,Aerospace & Defense,0.2867563167877557
428,TDY,-0.1999372788316024,Industrials,Aerospace & Defense,0.1999372788316024
429,TEL,-0.2577329815268815,Information Technology,Electronic Manufacturing Services,0.2577329815268815
430,TER,-0.21388346926310173,Information Technology,Semiconductor Equipment,0.21388346926310173
431,TFC,-0.2820519944792089,Financials,Regional Banks,0.2820519944792089
432,TFX,-0.1591951471552179,Health Care,Health Care Equipment,0.1591951471552179
433,TGT,-0.13644375210785487,Consumer Discretionary,General Merchandise Stores,0.13644375210785487
434,TIF,-0.14227344987454654,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.14227344987454654
435,TJX,-0.1577689827100809,Consumer Discretionary,Apparel Retail,0.1577689827100809
436,TMO,-0.06651284074600197,Health Care,Life Sciences Tools & Services,0.06651284074600197
437,TMUS,-0.15838194088917354,Communication Services,Wireless Telecommunication Services,0.15838194088917354
438,TPR,-0.27315109622804723,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.27315109622804723
439,TROW,-0.17195355342967875,Financials,Asset Management & Custody Banks,0.17195355342967875
440,TRV,-0.13842767328945854,Financials,Property & Casualty Insurance,0.13842767328945854
441,TSCO,-0.16645295723693612,Consumer Discretionary,Specialty Stores,0.16645295723693612
442,TSN,-0.35467896949331057,Consumer Staples,Packaged Foods & Meats,0.35467896949331057
443,TT,-0.305672122939991,Industrials,Building Products,0.305672122939991
444,TTWO,0.07290057162078396,Communication Services,Interactive Home Entertainment,0.07290057162078396
445,TWTR,-0.1048366912702079,Communication Services,Interactive Media & Services,0.1048366912702079
446,TXN,-0.29042714030403605,Information Technology,Semiconductors,0.29042714030403605
447,TXT,-0.325876029013802,Industrials,Aerospace & Defense,0.325876029013802
448,TYL,-0.19598247154149356,Information Technology,Application Software,0.19598247154149356
449,UA,-0.30923060901090066,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.30923060901090066
450,UAA,-0.2965784092257617,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.2965784092257617
451,UAL,-0.2303190781412362,Industrials,Airlines,0.2303190781412362
452,UDR,-0.008544949474567413,Real Estate,Residential REITs,0.008544949474567413
453,UHS,-0.14754775068482806,Health Care,Health Care Facilities,0.14754775068482806
454,ULTA,-0.17394413698370734,Consumer Discretionary,Specialty Stores,0.17394413698370734
455,UNH,0.0237193778745181,Health Care,Managed Health Care,0.0237193778745181
456,UNM,-0.26992955441787864,Financials,Life & Health Insurance,0.26992955441787864
457,UNP,-0.24465176092616775,Industrials,Railroads,0.24465176092616775
458,UPS,-0.10563796239280858,Industrials,Air Freight & Logistics,0.10563796239280858
459,URI,-0.4029274973907012,Industrials,Trading Companies & Distributors,0.4029274973907012
460,USB,-0.2645516245739368,Financials,Diversified Banks,0.2645516245739368
461,V,-0.1386206727308979,Information Technology,Data Processing & Outsourced Services,0.1386206727308979
462,VAR,-0.2252669135880488,Health Care,Health Care Equipment,0.2252669135880488
463,VFC,-0.19250126748556384,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.19250126748556384
464,VIAC,-0.5460908978021101,Communication Services,Movies & Entertainment,0.5460908978021101
465,VLO,-0.21434571626635773,Energy,Oil & Gas Refining & Marketing,0.21434571626635773
466,VMC,-0.2244442200025604,Materials,Construction Materials,0.2244442200025604
467,VNO,-0.2002853964946559,Real Estate,Office REITs,0.2002853964946559
468,VNT,-0.03818943028761092,Information Technology,Electronic Equipment & Instruments,0.03818943028761092
469,VRSK,-0.14335795313107555,Industrials,Research & Consulting Services,0.14335795313107555
470,VRSN,-0.15731420663856288,Information Technology,Internet Services & Infrastructure,0.15731420663856288
471,VRTX,-0.020612278498862525,Health Care,Biotechnology,0.020612278498862525
472,VTR,-0.1998241580396994,Real Estate,Health Care REITs,0.1998241580396994
473,VTRS,-0.07823836401678445,Health Care,Pharmaceuticals,0.07823836401678445
474,VZ,-0.026509035111089402,Communication Services,Integrated Telecommunication Services,0.026509035111089402
475,WAB,-0.2452951889811209,Industrials,Construction Machinery & Heavy Trucks,0.2452951889811209
476,WAT,-0.10732670402264696,Health Care,Health Care Distributors,0.10732670402264696
477,WBA,0.06467265559939693,Consumer Staples,Drug Retail,0.06467265559939693
478,WDC,-0.21974020669546893,Information Technology,"Technology Hardware, Storage & Peripherals",0.21974020669546893
479,WEC,0.07414262055482915,Utilities,Electric Utilities,0.07414262055482915
480,WELL,-0.1954460674432994,Real Estate,Health Care REITs,0.1954460674432994
481,WFC,-0.2425623607129572,Financials,Diversified Banks,0.2425623607129572
482,WHR,-0.2391154309280902,Consumer Discretionary,Household Appliances,0.2391154309280902
483,WLTW,-0.0925213589605898,Financials,Insurance Brokers,0.0925213589605898
484,WM,-0.06959158950026527,Industrials,Environmental & Facilities Services,0.06959158950026527
485,WMB,-0.26434081973215273,Energy,Oil & Gas Storage & Transportation,0.26434081973215273
486,WMT,0.11585318960005715,Consumer Staples,Hypermarkets & Super Centers,0.11585318960005715
487,WRB,-0.205956182348509,Financials,Property & Casualty Insurance,0.205956182348509
488,WRK,-0.274978379985813,Materials,Paper Packaging,0.274978379985813
489,WST,-0.2527191696916033,Health Care,Health Care Supplies,0.2527191696916033
490,WU,-0.09911015562146266,Information Technology,Data Processing & Outsourced Services,0.09911015562146266
491,WY,-0.14176726657490402,Real Estate,Specialized REITs,0.14176726657490402
492,WYNN,-0.28927529135653746,Consumer Discretionary,Casinos & Gaming,0.28927529135653746
493,XEL,0.060907784415428726,Utilities,Multi-Utilities,0.060907784415428726
494,XLNX,-0.28156854074635496,Information Technology,Semiconductors,0.28156854074635496
495,XOM,-0.34820344976072765,Energy,Integrated Oil & Gas,0.34820344976072765
496,XRAY,-0.3111781434719465,Health Care,Health Care Supplies,0.3111781434719465
497,XRX,-0.2447386873364008,Information Technology,"Technology Hardware, Storage & Peripherals",0.2447386873364008
498,XYL,-0.11276134054971645,Industrials,Industrial Machinery,0.11276134054971645
499,YUM,-0.21134124192072,Consumer Discretionary,Restaurants,0.21134124192072
500,ZBH,-0.3877598312607928,Health Care,Health Care Equipment,0.3877598312607928
501,ZBRA,-0.22353651018381987,Information Technology,Electronic Equipment & Instruments,0.22353651018381987
502,ZION,-0.31674779706031103,Financials,Regional Banks,0.31674779706031103
503,ZTS,-0.17221614563699958,Health Care,Pharmaceuticals,0.17221614563699958
